Active Status,Type,Item,Description,Preferred Vendor,Height,Width,Depth,MERV,MERV Value,Classification,Category_ID,
Active,Inventory Part,FHT-F8-12244W,"EFS High Temp. Air Filter, F8, 12"" x 24"" x 4"" (305x610x120mm) with Aluminum Frame, Glass Fiber media; no header","Wetzel Technologies Co., Ltd",12,24,4,,,f,16,
Active,Inventory Part,FHT-F8-232312W,"EFS High Temp. F8 Air Filter, 23-3/8"" x 23-3/8"" x 11�"" , Aluminum Frame, Glass Fiber media, Screens Both Sides, HT Gasket, NO HEADER, High Capacity, Rated 2000 cfm","Wetzel Technologies Co., Ltd",23.375,23.375,11,,,f,16,
Active,Inventory Part,FHT-F8-232312W-DH,"EFS High Temp. F8 Air Filter, 23-3/8"" x 23-3/8"" x 11�"" , Aluminum Frame, Glass Fiber media, Screens Both Sides, HT Gasket, Double Header, High Capacity, Rated 2000 cfm","Wetzel Technologies Co., Ltd",23.375,23.375,11,,,f,16,
Active,Inventory Part,FHT-F8-232312W-SH,"EFS High Temp. F8 Air Filter, 23-3/8"" x 23-3/8"" x 11�"" , Aluminum Frame, Glass Fiber media, Screens Both Sides, HT Gasket, Single Header, High Capacity, Rated 2000 cfm","Wetzel Technologies Co., Ltd",23.375,23.375,11,,,f,16,
Active,Inventory Part,FHT-F8-23234W,"EFS High Temp. Air Filter, 23-3/8"" x 23-3/8"" x 3-1/2"" ..aluminum Frame, Glass Fiber media","Wetzel Technologies Co., Ltd",23.375,23.375,3.5,,,f,16,
Active,Inventory Part,FHT-F8-24244W,"F8/MERV 14, High Temperature Air Filter,..24"" x 24"" x 4""; Glass Fiber media; no header","Wetzel Technologies Co., Ltd",0.24,24,4,MERV 14,14,f,16,
Active,Inventory Part,FL-FA191234,"22"" Cylindrical, MERV 15 Nanofiber GT Inlet Filter","Fleetlife, Inc.",12.75,22,,MERV 15,15,f,7,
Active,Inventory Part,FL-FA191280,"26"" Cylindrical, MERV 15 Nanofiber, GT Inlet Filter","Fleetlife, Inc.",12.75,26,,MERV 15,15,f,7,
Active,Inventory Part,FL-FA191280-S-WB,"26"" Cylindrical, MERV 15 Nanofiber, GT Inlet Filter","Fleetlife, Inc.",12.75,26,,MERV 15,15,f,7,
Active,Inventory Part,FL-FA191281,"26"" Conical, MERV 15 Nanofiber, GT Inlet Filter","Fleetlife, Inc.",12.75,26,,MERV 15,15,f,16,
Active,Inventory Part,FL-FA191310,"22"" Cylindrical, MERV 13 Nanofiber GT Inlet Filter","Fleetlife, Inc.",12.75,22,,MERV 13,13,f,7,
Active,Inventory Part,FL-FA72518,"26"" GT Canister filter; MERV 10 w/Tenkay Interface ..(26"" Long x 12.75 Diameter)","Fleetlife, Inc.",12.75,26,,MERV 10,10,f,6,
Active,Inventory Part,FL-FA72518-36-WB,"36"" GT Canister filter; MERV 10 w/Tenkay Interface ..(36"" Long x 12.75 Diameter)","Fleetlife, Inc.",12.75,36,,MERV 10,10,f,6,
Active,Inventory Part,FL-FA72518-WB,"26"" GT Canister filter; MERV 10 w/Tenkay Interface ..(26"" Long x 12.75 Diameter)","Fleetlife, Inc.",12.75,26,,MERV 10,10,f,6,
Active,Inventory Part,FM80GT-24244,24x24x4 Disposable Coalescer Filter Pad  with Tackifier,AAF/Flanders Corporation,24,24,4,,,f,16,
Active,Inventory Part,FP-4VH13HEPA-1123115-WGH,"EFS H13 (99.99%) High Volume HEPA Filter, 11-3/8"" x 23-3/8"" x 11-1/2"" with Plastic Frame HEADER, Wet Laid Glass Mini Pleated media","Wetzel Technologies Co., Ltd",11.375,23.375,11.5,99.99%,17,f,9,
Active,Inventory Part,FP-4VH13HEPA-191912-WGH,"EFS H13 (99.99%) High Volume HEPA Filter, V4-bank style19-3/8 x 19-3/8 x 12  with 20mm HEADER, Blue Plastic Frame, Wet Laid Glass Mini Pleated media","Wetzel Technologies Co., Ltd",0.375,19.375,12,99.99%,17,f,9,
Active,Inventory Part,FP-4VH13HEPA-2323115-WGH,"EFS H13 (99.99%) High Volume HEPA Filter, V4-bank style 23-3/8"" x 23-3/8"" x 11-1/2"" with 20mm HEADER, Blue Plastic Frame, Wet Laid Glass Mini Pleated media","Wetzel Technologies Co., Ltd",23.375,23.375,11.5,99.99%,17,f,9,
Active,Inventory Part,FP-H10HEPA-2424115-WPP,"EFS H10 (99%) High Volume HEPA Filter, 24"" x 24"" x 11.5"" (610x610x292mm) with Plastic Frame, 100% Synthetic media","Wetzel Technologies Co., Ltd",24,24,11.5,99%,17,f,9,
Active,Inventory Part,FP-H13HEPA-1123115-WG,"EFS H13 (99.99%) High Volume HEPA Filter, 11-3/8"" x 23-3/8"" x 11-1/2"" with Plastic Frame, Wet Laid Glass Mini Pleated media","Wetzel Technologies Co., Ltd",11.375,23.375,11.5,99.99%,17,f,9,
Active,Inventory Part,FP-H13HEPA-1224115-WG,"EFS H13 (99.99%) High Volume HEPA Filter, 12"" x 24"" x 11.5"" with Plastic Frame, Wet Laid Glass Mini Pleated media","Wetzel Technologies Co., Ltd",12,24,11.5,99.99%,17,f,9,
Active,Inventory Part,FP-H13HEPA-18151.97-WG,"482x403x50 H13 Aluminum frame..Normal Temp. aluminum frame 50mm, H13 glass fiber..media, with gasket T5x15mm on CAS, without..protection nets","Wetzel Technologies Co., Ltd",482,403,50,,17,f,16,
Active,Inventory Part,FP-H13HEPA-1923115-WG,"H13 (99.99%) High Volume HEPA..Plastic Frame, 19-3/8�x 23-3/8�x 11 � ..H13 Glass Mini Pleated Media  ..","Wetzel Technologies Co., Ltd",19.375,23.375,11,99.99%,17,f,9,
Active,Inventory Part,FP-H13HEPA-2323115-WG,"EFS H13 (99.99%) High Volume HEPA Filter, 23-3/8"" x 23-3/8"" x 11-1/2"" with Plastic Frame, Wet Laid Glass Mini Pleated media","Wetzel Technologies Co., Ltd",23.375,23.375,11.5,99.99%,17,f,9,
Active,Inventory Part,FP-H13HEPA-2424115-WG,"EFS H13 (99.99%) High Volume HEPA Filter, 24"" x 24"" x 11.5"" with Plastic Frame, Wet Laid Glass Mini Pleated media","Wetzel Technologies Co., Ltd",24,24,11.5,99.99%,17,f,9,
Active,Inventory Part,FP-H14ALUMHEPA-2424115,"EFS H14 (99.99%) High Volume HEPA Filter, 24"" x 24"" x 11.5"" with Aluminum Frame, Wet Laid Glass Mini Pleated media","Wetzel Technologies Co., Ltd",24,24,11.5,99.99%,17,f,9,
Active,Inventory Part,FP-H14HEPA-1212115-WG,H14 99.99% Alum Sep HEPA 12x12x11�..Powder Coated Nets DSG Plastic Frame,"Wetzel Technologies Co., Ltd",12,12,11,99.99%,17,f,9,
Active,Inventory Part,FP-H14HEPA-1818115-WG,H14 99.99% Alum Sep HEPA 18x18x11�..Powder Coated Nets DSG Plastic Frame,"Wetzel Technologies Co., Ltd",18,18,11,99.99%,17,f,9,
Active,Inventory Part,FP-H14HEPA-242012-WG,"EFS H14 (99.999%) High Volume HEPA Filter, 24x20x12"" with Plastic Frame, Wet Laid Glass Mini Pleated media","Wetzel Technologies Co., Ltd",24,20,12,100.00%,18,f,9,
Active,Inventory Part,FP-H14HEPA-2424115-WG,"EFS H14 (99.999%) High Volume ULPA Filter, 24"" x 24"" x 11.5"" with Plastic Frame, Wet Laid Glass Mini Pleated media","Wetzel Technologies Co., Ltd",24,24,11.5,100.00%,18,f,10,
Active,Inventory Part,FPG-H13HEPA-1123115-WG,"EFS H13 (99.99%) High Volume HEPA Filter, 11-3/8"" x 23-3/8"" x 11-1/2"" with GALV. Frame, Wet Laid Glass Mini Pleated media","Wetzel Technologies Co., Ltd",11.375,23.375,11.5,99.99%,17,f,9,
Active,Inventory Part,FPG-H13HEPA-2323115-WG,"H13 (99.99%) High Volume HEPA Filter, Galv. Frame,..23-3/8"" x 23-3/8"" x 11-1/2"" (592x592x292mm), ..H13 Glass Mini Pleated Media","Wetzel Technologies Co., Ltd",23.375,23.375,11.5,99.99%,17,f,9,
Active,Inventory Part,FV4XLCG,"24x24x15 MERV 16 F9 Turbine V-Bank Filter ,Micro-Glass Fiber, Plastic Frame","Wetzel Technologies Co., Ltd",24,24,15,MERV 16,16,f,4,
Active,Inventory Part,G4-MINIPLEAT,580x650x48 G4 Glass Media Plastic Frame MINI Pleat,"Wetzel Technologies Co., Ltd",580,650,48,,,f,13,
Active,Inventory Part,GALV3401-12243,12x24x3 Galv Blank Frames,"Aircon Filter Mfg. Co., Inc.",12,24,3,,,a,16,
Active,Inventory Part,GALV3401-20243,20x24x3 Galv Blank Frames,"Aircon Filter Mfg. Co., Inc.",20,24,3,,,a,16,
Active,Inventory Part,GALV3401-24243,24x24x3 Galv Blank Frames,"Aircon Filter Mfg. Co., Inc.",24,24,3,,,a,16,
Active,Inventory Part,GDS12201,12x20x1 Glass Double Strut Disposable,Glasfloss Industries,12,20,1,,,a,16,
Active,Inventory Part,HT-242412-GALWT,"HT Filter Box Style Galvanized Frame 24x24x12(610x610x292)  Glass fiber media,with galvanized protection nets on both sides, with glass fiber gasket+metal support on CAS; 4250m3/h, Temp <=350�C","Wetzel Technologies Co., Ltd",24,24,12,,,f,3,
Active,Inventory Part,HT-24242-ALUWT,"HT Filter Aluminum Frame 24x24x2 (610x610x55mm) Glass fiber media, glass fiber Separator, with protection nets on both sides,with glass fiber gasket on Dirty air side","Wetzel Technologies Co., Ltd",24,24,2,,,f,16,
Active,Inventory Part,HVP10101,10x10x1 MERV10 High Capacity Pleat,Glasfloss Industries,10,10,1,MERV10,10,f,13,
Active,Inventory Part,HVP10121,10x12x1 MERV10 High Capacity Pleat,Glasfloss Industries,10,12,1,MERV10,10,f,13,
Active,Inventory Part,HVP10162,10x16x2 MERV10 High Capacity Pleat,Glasfloss Industries,10,16,2,MERV10,10,f,13,
Active,Inventory Part,HVP10201,10x20x1 MERV10 High Capacity Pleat,Glasfloss Industries,10,20,1,MERV10,10,f,13,
Active,Inventory Part,HVP10202,10x20x2 MERV10 High Capacity Pleat,Glasfloss Industries,10,20,2,MERV10,10,f,13,
Active,Inventory Part,HVP10202XM,10x20x2 High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,10,20,2,,10,f,13,
Active,Inventory Part,HVP10221XM,10x22x1 High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,10,22,1,,10,f,13,
Active,Inventory Part,HVP10221XMSP,10x22x1 SPECIAL High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,10,22,1,,10,f,13,
Active,Inventory Part,HVP10241,10x24x1 MERV10 High Capacity Pleat,Glasfloss Industries,10,24,1,MERV10,10,f,13,
Active,Inventory Part,HVP10252,10x25x2 MERV10 High Capacity Pleat,Glasfloss Industries,10,25,2,MERV10,10,f,13,
Active,Inventory Part,HVP10252XM,10x25x2 High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,10,25,2,,10,f,13,
Active,Inventory Part,HVP10301,10x30x1 MERV10 High Capacity Pleat,Glasfloss Industries,10,30,1,MERV10,10,f,13,
Active,Inventory Part,HVP1111SPC,11x11x1 Special MERV10 Standard Capacity Pleat,Glasfloss Industries,11,11,1,MERV10,10,f,13,
Active,Inventory Part,HVP11202XMSP,11x20x2 SPECIAL SPECIAL High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,11,20,2,,10,f,13,
Active,Inventory Part,HVP11351SPC,11x35x1 MERV10 Standard Capacity Pleat,Glasfloss Industries,11,35,1,MERV10,10,f,13,
Active,Inventory Part,HVP11381SPC,11.5 x 38.5 x 1 MERV10 Standard Capacity Pleat,Glasfloss Industries,11.5,38.5,1,MERV10,10,f,13,
Active,Inventory Part,HVP12.522.51SPC,12.5x22.5x1 Special MERV10 Standard Capacity Pleat,Glasfloss Industries,12.5,22.5,1,MERV10,10,f,13,
Active,Inventory Part,HVP12121,12x12x1 MERV10 High Capacity Pleat,Glasfloss Industries,12,12,1,MERV10,10,f,13,
Active,Inventory Part,HVP12122,12x12x2 MERV10 High Capacity Pleat,Glasfloss Industries,12,12,2,MERV10,10,f,13,
Active,Inventory Part,HVP12122XM,12x12x2 High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,12,12,2,,10,f,13,
Active,Inventory Part,HVP12124,12x12x4 MERV10 High Capacity Pleat,Glasfloss Industries,12,12,4,MERV10,10,f,13,
Active,Inventory Part,HVP12124XMSP,12x12x4 Special High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,12,12,4,,10,f,13,
Active,Inventory Part,HVP12201,12x20x1 MERV10 High Capacity Pleat,Glasfloss Industries,12,20,1,MERV10,10,f,13,
Active,Inventory Part,HVP12202,12x20x2 High Capacity Pleat (MERV 10),Glasfloss Industries,12,20,2,MERV 10,10,f,13,
Active,Inventory Part,HVP12202XM,12x20x2 High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,12,20,2,,10,f,13,
Active,Inventory Part,HVP12211SPC,12x21x1 Special MERV10 Standard Capacity Pleat,Glasfloss Industries,12,21,1,MERV10,10,f,13,
Active,Inventory Part,HVP12241,12x24x1 MERV10 High Capacity Pleat,Glasfloss Industries,12,24,1,MERV10,10,f,13,
Active,Inventory Part,HVP12241XM,12x24x1 High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,12,24,1,,10,f,13,
Active,Inventory Part,HVP12242,12x24x2 MERV10 High Capacity Pleat,Glasfloss Industries,12,24,2,MERV10,10,f,13,
Active,Inventory Part,HVP12242XM,12x24x2  High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,12,24,2,,10,f,13,
Active,Inventory Part,HVP12244,12x24x4 MERV10 High Capacity Pleat,Glasfloss Industries,12,24,4,MERV10,10,f,13,
Active,Inventory Part,HVP12244XM,12x24x4 High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,12,24,4,,10,f,13,
Active,Inventory Part,HVP12246,12x24x6 MERV10 High Capacity Pleat,Glasfloss Industries,12,24,6,MERV10,10,f,13,
Active,Inventory Part,HVP12251,12x25x1 MERV10 High Capacity Pleat,Glasfloss Industries,12,25,1,MERV10,10,f,13,
Active,Inventory Part,HVP12252SPC,12x25x2 MERV10 High Capacity Pleat,Glasfloss Industries,12,25,2,MERV10,10,f,13,
Active,Inventory Part,HVP12301,12x30x1 MERV10 High Capacity Pleat,Glasfloss Industries,12,30,1,MERV10,10,f,13,
Active,Inventory Part,HVP12302,12x30x2 Special MERV10 High Capacity Pleat,Glasfloss Industries,12,30,2,MERV10,10,f,13,
Active,Inventory Part,HVP12321,12x32x1 High Capacity Pleat,Glasfloss Industries,12,32,1,,10,f,13,
Active,Inventory Part,HVP12341XM-SP,12x34x1 Special High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,12,34,1,,10,f,13,
Active,Inventory Part,HVP12401SPC,12x40x1 Special MERV10 High Capacity Pleat,Glasfloss Industries,12,40,1,MERV10,10,f,13,
Active,Inventory Part,HVP12441SPC,12x44x1 Special MERV10 High Capacity Pleat,Glasfloss Industries,12,44,1,MERV10,10,f,13,
Active,Inventory Part,HVP13.5421SPC,13.5x42x1 Special MERV10 Standard Capacity Pleat,Glasfloss Industries,13.5,42,1,MERV10,10,f,13,
Active,Inventory Part,HVP13221SPC,13x22x1 Special MERV10 Standard Capacity Pleat,Glasfloss Industries,13,22,1,MERV10,10,f,13,
Active,Inventory Part,HVP14141,14x14x1 MERV10 High Capacity Pleat,Glasfloss Industries,14,14,1,MERV10,10,f,13,
Active,Inventory Part,HVP14161SPC,14x16x1 Special MERV10 Standard Capacity Pleat,Glasfloss Industries,14,16,1,MERV10,10,f,13,
Active,Inventory Part,HVP14201,14x20x1 MERV10 High Capacity Pleat,Glasfloss Industries,14,20,1,MERV10,10,f,13,
Active,Inventory Part,HVP14202,14x20x2 MERV10 High Capacity Pleat,Glasfloss Industries,14,20,2,MERV10,10,f,13,
Active,Inventory Part,HVP14241,14x24x1 MERV10 High Capacity Pleat,Glasfloss Industries,14,24,1,MERV10,10,f,13,
Active,Inventory Part,HVP14251,14x25x1 MERV10 High Capacity Pleat,Glasfloss Industries,14,25,1,MERV10,10,f,13,
Active,Inventory Part,HVP14252,14x25x2 MERV10 High Capacity Pleat,Glasfloss Industries,14,25,2,MERV10,10,f,13,
Active,Inventory Part,HVP14301,14x30x1 MERV10 High Capacity Pleat,Glasfloss Industries,14,30,1,MERV10,10,f,13,
Active,Inventory Part,HVP14302XM,14x30x2 High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,14,30,2,,10,f,13,
Active,Inventory Part,HVP14302XM-SP,14x30x2 Special High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,14,30,2,,10,f,13,
Active,Inventory Part,HVP14351SP,14x35x1 MERV10 High Capacity Pleat,Glasfloss Industries,14,35,1,MERV10,10,f,13,
Active,Inventory Part,HVP14361SPC,14x36x1 Special MERV10 Standard Capacity Pleat,Glasfloss Industries,14,36,1,MERV10,10,f,13,
Active,Inventory Part,HVP15.7535.752SPE,15 3/4x 35 3/4x 2 SPECIAL MERV10 High Capacity Pleat,Glasfloss Industries,15.75,35.75,2,MERV10,10,f,13,
Active,Inventory Part,HVP15201,15x20x1 MERV10 High Capacity Pleat,Glasfloss Industries,15,20,1,MERV10,10,f,13,
Active,Inventory Part,HVP15202,15x20x2 MERV10 High Capacity Pleat,Glasfloss Industries,15,20,2,MERV10,10,f,13,
Active,Inventory Part,HVP15241XM,15x24x1  High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,15,24,1,,10,f,13,
Active,Inventory Part,HVP15251XM,15x25x1  High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,15,25,1,,10,f,13,
Active,Inventory Part,HVP15271SP,15x27x1 MERV10 Special High Capacity Pleat,Glasfloss Industries,15,27,1,MERV10,10,f,13,
Active,Inventory Part,HVP15302SP,15x30x2 MERV10 Special High Capacity Pleat,Glasfloss Industries,15,30,2,MERV10,10,f,13,
Active,Inventory Part,HVP15311,15x31x1 MERV10 High Capacity Pleat,Glasfloss Industries,15,31,1,MERV10,10,f,13,
Active,Inventory Part,HVP16121SPC,16x12x1 Special MERV10 Standard Capacity Pleat,Glasfloss Industries,16,12,1,MERV10,10,f,13,
Active,Inventory Part,HVP16151SP,16x15x1 MERV10 Special High Capacity Pleat,Glasfloss Industries,16,15,1,MERV10,10,f,13,
Active,Inventory Part,HVP16161,16x16x1 MERV10 High Capacity Pleat,Glasfloss Industries,16,16,1,MERV10,10,f,13,
Active,Inventory Part,HVP16161XM,16x16x1  High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,16,16,1,,10,f,13,
Active,Inventory Part,HVP16162,16x16x2 MERV10 High Capacity Pleat,Glasfloss Industries,16,16,2,MERV10,10,f,13,
Active,Inventory Part,HVP16162XM,16x16x2 High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,16,16,2,,10,f,13,
Active,Inventory Part,HVP16181,16x18x1  High Capacity Pleat,Glasfloss Industries,16,18,1,,10,f,13,
Active,Inventory Part,HVP16201,16x20x1 MERV10 High Capacity Pleat,Glasfloss Industries,16,20,1,MERV10,10,f,13,
Active,Inventory Part,HVP16202,16x20x2 MERV10 High Capacity Pleat,Glasfloss Industries,16,20,2,MERV10,10,f,13,
Active,Inventory Part,HVP16202XM,16x20x2 High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,16,20,2,,10,f,13,
Active,Inventory Part,HVP16204,16x20x4 MERV10 High Capacity Pleat,Glasfloss Industries,16,20,4,MERV10,10,f,13,
Active,Inventory Part,HVP16204XM,16x20x4 High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,16,20,4,,10,f,13,
Active,Inventory Part,HVP16221SP,16x22x1 MERV10 High Capacity Pleat,Glasfloss Industries,16,22,1,MERV10,10,f,13,
Active,Inventory Part,HVP16241,16x24x1 MERV10 High Capacity Pleat,Glasfloss Industries,16,24,1,MERV10,10,f,13,
Active,Inventory Part,HVP16241XM,16x24x1 High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,16,24,1,,10,f,13,
Active,Inventory Part,HVP16242,16x24x2 MERV10 High Capacity Pleat,Glasfloss Industries,16,24,2,MERV10,10,f,13,
Active,Inventory Part,HVP16242XM,16x24x2  High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,16,24,2,,10,f,13,
Active,Inventory Part,HVP16244SP,16x24x4 MERV10 High Capacity Pleat,Glasfloss Industries,16,24,4,MERV10,10,f,13,
Active,Inventory Part,HVP16251,16x25x1 MERV10 High Capacity Pleat,Glasfloss Industries,16,25,1,MERV10,10,f,13,
Active,Inventory Part,HVP16252,16x25x2 MERV10 High Capacity Pleat,Glasfloss Industries,16,25,2,MERV10,10,f,13,
Active,Inventory Part,HVP16252XM,16x25x2  High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,16,25,2,,10,f,13,
Active,Inventory Part,HVP16254,16x25x4 MERV10 High Capacity Pleat,Glasfloss Industries,16,25,4,MERV10,10,f,13,
Active,Inventory Part,HVP16254XM,16x25x4  High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,16,25,4,,10,f,13,
Active,Inventory Part,HVP16301,16x30x1 MERV10 High Capacity Pleat,Glasfloss Industries,16,30,1,MERV10,10,f,13,
Active,Inventory Part,HVP16301XM,16x30x1 MERV10 High Capacity Pleat,Glasfloss Industries,16,30,1,MERV10,10,f,13,
Active,Inventory Part,HVP16302,16x30x2 MERV10 High Capacity Pleat,Glasfloss Industries,16,30,2,MERV10,10,f,13,
Active,Inventory Part,HVP16304,16x30x4 MERV10 High Capacity Pleat,Glasfloss Industries,16,30,4,MERV10,10,f,13,
Active,Inventory Part,HVP16311SP,16x31x1 MERV10 Special High Capacity Pleat,Glasfloss Industries,16,31,1,MERV10,10,f,13,
Active,Inventory Part,HVP16322SP,16x32x2 Special MERV10 High Capacity Pleat,Glasfloss Industries,16,32,2,MERV10,10,f,13,
Active,Inventory Part,HVP16351,16x35x1 MERV10 High Capacity Pleat,Glasfloss Industries,16,35,1,MERV10,10,f,13,
Active,Inventory Part,HVP16401XMSP,16x40x1 SPECIAL High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,16,40,1,,10,f,13,
Active,Inventory Part,HVP17.5241SPC,17.5 x 24 x 1 Special MERV10 Standard Capacity Pleat,Glasfloss Industries,17.5,24,1,MERV10,10,f,13,
Active,Inventory Part,HVP17.5322SPC,17.5 x 32 x 2 Special MERV10 Standard Capacity Pleat,Glasfloss Industries,17.5,32,2,MERV10,10,f,13,
Active,Inventory Part,HVP17171SPC,17x17x1 Special MERV10 Standard Capacity Pleat,Glasfloss Industries,17,17,1,MERV10,10,f,13,
Active,Inventory Part,HVP17282XM,17x28x2 Special High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,17,28,2,,10,f,13,
Active,Inventory Part,HVP17351,17x35x1 MERV10 High Capacity Pleat,Glasfloss Industries,17,35,1,MERV10,10,f,13,
Active,Inventory Part,HVP17351SPC,17x35x1 MERV10 Standard Capacity Pleat,Glasfloss Industries,17,35,1,MERV10,10,f,13,
Active,Inventory Part,HVP1818.52SPC,18x18.5x2 Special MERV10 Standard Capacity Pleat,Glasfloss Industries,18,18.5,2,MERV10,10,f,13,
Active,Inventory Part,HVP18181,18x18x1 MERV10 High Capacity Pleat,Glasfloss Industries,18,18,1,MERV10,10,f,13,
Active,Inventory Part,HVP18182,18x18x2 MERV10 High Capacity Pleat,Glasfloss Industries,18,18,2,MERV10,10,f,13,
Active,Inventory Part,HVP18184SP,18x18x4 Special MERV10 High Capacity Pleat,Glasfloss Industries,18,18,4,MERV10,10,f,13,
Active,Inventory Part,HVP18201,18x20x1 MERV10 High Capacity Pleat,Glasfloss Industries,18,20,1,MERV10,10,f,13,
Active,Inventory Part,HVP18202,18x20x2 MERV10 High Capacity Pleat,Glasfloss Industries,18,20,2,MERV10,10,f,13,
Active,Inventory Part,HVP18202XM,18x20x2 High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,18,20,2,,10,f,13,
Active,Inventory Part,HVP18204SP,18x20x4 MERV10 High Capacity Pleat,Glasfloss Industries,18,20,4,MERV10,10,f,13,
Active,Inventory Part,HVP18221,18x22x1 Special MERV 10 High Capacity Pleat,Glasfloss Industries,18,22,1,MERV 10,10,f,13,
Active,Inventory Part,HVP18222SP,18x22x2 MERV10 High Capacity Pleat,Glasfloss Industries,18,22,2,MERV10,10,f,13,
Active,Inventory Part,HVP18241,18x24x1 MERV10 High Capacity Pleat,Glasfloss Industries,18,24,1,MERV10,10,f,13,
Active,Inventory Part,HVP18242,18x24x2 MERV10 High Capacity Pleat,Glasfloss Industries,18,24,2,MERV10,10,f,13,
Active,Inventory Part,HVP18242XM,18x24x2 High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,18,24,2,,10,f,13,
Active,Inventory Part,HVP18244,18x24x4 MERV10 High Capacity Pleat,Glasfloss Industries,18,24,4,MERV10,10,f,13,
Active,Inventory Part,HVP18251,18x25x1 MERV10 High Capacity Pleat,Glasfloss Industries,18,25,1,MERV10,10,f,13,
Active,Inventory Part,HVP18252,18x25x2 MERV10 High Capacity Pleat,Glasfloss Industries,18,25,2,MERV10,10,f,13,
Active,Inventory Part,HVP18252XM,18x25x2 High Capacity Pleat W/Heavy Expanded Metal,Glasfloss Industries,18,25,2,,10,f,13,
Active,Inventory Part,HVP18282XM-SP,18x28x2 SPECIAL High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,18,28,2,,10,f,13,
Active,Inventory Part,HVP18291,18x29x1 MERV10 High Capacity Pleat,Glasfloss Industries,18,29,1,MERV10,10,f,13,
Active,Inventory Part,HVP18291XM,18x29x1 High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,18,29,1,,10,f,13,
Active,Inventory Part,HVP18301,18x30x1 MERV10 High Capacity Pleat,Glasfloss Industries,18,30,1,MERV10,10,f,13,
Active,Inventory Part,HVP18302,18x30x2 MERV10 High Capacity Pleat,Glasfloss Industries,18,30,2,MERV10,10,f,13,
Active,Inventory Part,HVP18302XM- SP,18x30x2 Special High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,18,30,2,,10,f,13,
Active,Inventory Part,HVP19.535.51SPC,19.5x35.5x1 Special MERV10 Standard Capacity Pleat,Glasfloss Industries,19.5,35.5,1,MERV10,10,f,13,
Active,Inventory Part,HVP1919.52SPC,19x19.5x2 Special MERV10 Standard Capacity Pleat,Glasfloss Industries,19,19.5,2,MERV10,10,f,13,
Active,Inventory Part,HVP19201XM,19x20x1  High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,19,20,1,,10,f,13,
Active,Inventory Part,HVP19201XM-SP,19x20x1 Special High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,19,20,1,,10,f,13,
Active,Inventory Part,HVP20201,20x20x1 MERV10 High Capacity Pleat,Glasfloss Industries,20,20,1,MERV10,10,f,13,
Active,Inventory Part,HVP20201XM,20x20x1  High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,20,20,1,,10,f,13,
Active,Inventory Part,HVP20202,20x20x2 MERV10 High Capacity Pleat,Glasfloss Industries,20,20,2,MERV10,10,f,13,
Active,Inventory Part,HVP20202XM,20x20x2  High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,20,20,2,,10,f,13,
Active,Inventory Part,HVP20204,20x20x4 MERV10 High Capacity Pleat,Glasfloss Industries,20,20,4,MERV10,10,f,13,
Active,Inventory Part,HVP20204XM,20x20x4 High Capacity Pleat w/Heavy Expanded Metal,Glasfloss Industries,20,20,4,,10,f,13,
Active,Inventory Part,HVP20206,20x20x6  High Capacity Pleat,Glasfloss Industries,20,20,6,,10,f,13,
