Active Status,Type,Item,Description,Preferred Vendor,Height,Width,Depth,MERV,MERV Value,Classification,Category_ID,
Active,Non-inventory Part,SBG242415612,"24x24x15 MERV 11, 12-Pocket  Synthetic Bag Filter, No Gasket, Loops None, Cambridge Header, Galv. Steel Frame",Glasfloss Industries,24,24,15,MERV 11,11,f,1,
Active,Non-inventory Part,SBG24241566,24x24x15 6-Pocket MERV11 Syntetic Bag Filter,Glasfloss Industries,24,24,15,MERV11,11,f,1,
Active,Non-inventory Part,SBG242415812,"24x24x15 12-Pocket MERV 13 Synthetic Bag Filter, Galv. Steel Frame",Glasfloss Industries,24,24,15,MERV 13,13,f,1,
Active,Non-inventory Part,SBG24241586,24x24x15 6 Pocket Merv 13 Synthetic Bag Filter,Glasfloss Industries,24,24,15,Merv 13,13,f,1,
Active,Non-inventory Part,SBG242415912,24x24x15 12-Pocket 95% Syntetic Bag Filter,Glasfloss Industries,24,24,15,95%,16,f,1,
Active,Non-inventory Part,SBG24241596,24x24x15 6-Pocket 95% Syntetic Bag Filter,Glasfloss Industries,24,24,15,95%,16,f,1,
Active,Non-inventory Part,SBG24241598,24x24x15 8 Pocket Filter 95% Synthetic Special Bag Filter,Glasfloss Industries,24,24,15,95%,16,f,1,
Active,Non-inventory Part,SBG242421-95,24x24x21 6 Pocket Bag Filter 95% Synthetic Special Bag Filter,Glasfloss Industries,24,24,21,95%,16,f,1,
Active,Non-inventory Part,SBG242422,24x24x22 Merv 15  6 Pocket Synthetic Bag Filter,Glasfloss Industries,24,24,22,Merv 15,15,f,1,
Active,Non-inventory Part,SBG24242266,"24x24x21 (MERV 11) 6 Pocket Synthetic Bag Filter, Standard Header, Non Gasket",Glasfloss Industries,24,24,21,MERV 11,11,f,1,
Active,Non-inventory Part,SBG24242268,"Synthetic Bag, 24.0 in X 24.0 in X 22.0 in MERV 11 8.0 Pockets, Gasket None, Loops None, Std Header, Nom Size",Glasfloss Industries,,,,MERV 11,11,f,1,
Active,Non-inventory Part,SBG24242286,"24x24x22 (MERV 13) 6 Pocket Synthetic Bag Filter, Standard Header, Non Gasket",Glasfloss Industries,24,24,22,MERV 13,13,f,1,
Active,Non-inventory Part,SBG242424,24x24x24 6 Pocket Bag Filter,Glasfloss Industries,24,24,24,,13,f,1,
Active,Non-inventory Part,SBG24242596,24x24x25 6-Pocket Filter MERV 15 95% Synthetic Special Bag Filter,Glasfloss Industries,24,24,25,MERV 15,15,f,1,
Active,Non-inventory Part,SBG252010957,SBG252010957..20x25x10 Merv 15 7 Pocket Bag Filter with Aluminum Frame,Glasfloss Industries,0.2,25,10,Merv 15,15,f,1,
Active,Non-inventory Part,SCF14.314.32EHTHCSS,14 1/4 x 14 1/4 x 2 Special Construction Filter HIGH TEMP PLEATED FILTER..WITH 304 SS FRAME AND 1 X 1 WIRE..MERV 10 HIGH CAPACITY,Smith Filter,14.25,14.25,2,MERV 10,10,f,15,
Active,Non-inventory Part,SCF36394EHTPSS,36 x 39 x 4 HIGH TEMP PLEATED FILTER Each 1 241.83 241.83..W/ STAINLESS STEEL FRAME..AND STAINLESS STEEL 1 X 1 WIRE..(actual dims: 36 x 39 x 3 7/8),Smith Filter,36,39,4,,,m,15,
Not-active,Non-inventory Part,SENSTD244849302A10,2x4 Sentinel Fan Filter Unit,MISC,2,4,,,,f,16,
Active,Non-inventory Part,SHW-20-432,"S-15, White Synthetic Media ..6' x 72' Roll (432 ft�)",AFC Manufacturing,,,,,,m,16,
Active,Non-inventory Part,SHW-CRBN4-SLIT,Carbon Media,AFC Manufacturing,,,,,,m,16,
Active,Non-inventory Part,SMP-11AT-MINIPLEAT,SMP-11AT-MINIPLEAT,Aeolus Corporation,,,,,,f,13,
Active,Non-inventory Part,SMP-16204-60,16x20x4 Mini MERV 12 Plastic Frame,Aeolus Corporation,16,20,4,MERV 12,12,f,16,
Active,Non-inventory Part,SMP-20254-60,20x25x4 Mini MERV 12 Plastic Frame,Aeolus Corporation,20,25,4,MERV 12,12,f,16,
Active,Non-inventory Part,SMP-24244-60,24x24x4 Mini MERV 12 Plastic Frame,Aeolus Corporation,24,24,4,MERV 12,12,f,16,
Active,Non-inventory Part,SMP-6020254,20x24x4 inch MERV 12 (70-75%) Synthetic Mini Pleat Panel Filter,Glasfloss Industries,20,24,4,MERV 12,12,f,14,
Active,Non-inventory Part,SMP-8024242,MERV 13 24x24x2 Plastic Frame Pleat,Aeolus Corporation,24,24,2,MERV 13,13,f,13,
Active,Non-inventory Part,SMP-95AT20204,20x20x4 MERV 15 (95-100%) Synthetic Mini Pleat Filter,Aeolus Corporation,20,20,4,MERV 15,15,f,13,
Active,Non-inventory Part,SN3P,"Filter, Panel, SN3P, 580mmH x 650mmW x 98mmD (3.88"")",Parker-Hannifin Corporation,,,,,,f,14,
Active,Non-inventory Part,SN3P/001428F,"Filter, Panel, SN3P, 580mmH x 650mmW x 48mmD",Parker-Hannifin Corporation,,,,,,f,14,
Active,Non-inventory Part,SN7S,"Filter, Bag, EFSF6SN7 / SN7S, 580mmH x 650mmW x 700mmD (22.8""x25.6""x27.6"")","Wetzel Technologies Co., Ltd",22.8,25.6,27.6,,,f,1,
Active,Non-inventory Part,SNGF/000230F,"Filter, Pad, SNGF, 580mmH x 650mmW",Parker-Hannifin Corporation,,,,,,f,16,
Not-active,Non-inventory Part,Special Mini95-12122,12x12x2 M-15 Nexfil MINI Pleat,Commercial Filters Sales,12,12,2,,,f,13,
Active,Non-inventory Part,SS633-FD-5,"SS633-FD-5 ..Facet SS-5 Series Separator Cartridges..6"" OD x 33-1/4"" L, Qualified to El-1581, Fifth Edition","Precision Filter Products, LLC",,,,,,a,5,
Active,Non-inventory Part,ST718-00-03ZXC0,HILCO Filter Cartridge,Hilliard Corporation,,,,,,f,5,
Active,Non-inventory Part,Sub-Contractor Labor,Sales Tax,MISC,,,,,,s,16,
Active,Non-inventory Part,Surcharge,Sales Tax,MISC,,,,,,s,16,
Active,Non-inventory Part,T60 1/1,Viledon  24x24x26  60% Pocket,"Freudenberg Filtration Technologies, L.P.",24,24,26,60%,8,f,2,
Active,Non-inventory Part,T60 1/2,Viledon 12x24x26 6 Pocket,"Freudenberg Filtration Technologies, L.P.",12,24,26,,8,f,2,
Active,Non-inventory Part,T60S 1/1,Viledon  24x24x20  60% Pocket,"Freudenberg Filtration Technologies, L.P.",24,24,20,60%,8,f,2,
Active,Non-inventory Part,T60S1/2,Viledon 12x24x20,"Freudenberg Filtration Technologies, L.P.",12,24,20,,8,f,16,
