Item,Description,Preferred Vendor,Size_Matched_Text,Height,Width,Depth,MERV,MERV Value,Classification
ZLP16241,16x24x1 MERV10 Standard Capacity Pleat,Glasfloss Industries,16x24x1,16.0,24.0,1.0,MERV10,10.0,air_filter
ZLP16242,16x24x2 MERV10 Standard Capacity Pleat,Glasfloss Industries,16x24x2,16.0,24.0,2.0,MERV10,10.0,air_filter
ZLP16242SP,16 1/4x24x2  MERV10 Special Standard Capacity Pleat,Glasfloss Industries,16 1/4x24x2 ,16.25,24.0,2.0,MERV10,10.0,air_filter
ZLP16244,16x24x4 MERV10 Standard Capacity Pleat,Glasfloss Industries,16x24x4,16.0,24.0,4.0,MERV10,10.0,air_filter
ZLP16251,16x25x1 MERV10 Standard Capacity Pleat,Glasfloss Industries,16x25x1,16.0,25.0,1.0,MERV10,10.0,air_filter
ZLP16252,16x25x2 MERV10 Standard Capacity Pleat,Glasfloss Industries,16x25x2,16.0,25.0,2.0,MERV10,10.0,air_filter
ZLP16254,16x25x4 MERV10 Standard Capacity Pleat,Glasfloss Industries,16x25x4,16.0,25.0,4.0,MERV10,10.0,air_filter
ZLP163/4241SP,16 3/4x24x1 MERV10 Special Standard Capacity Pleat,Glasfloss Industries,16 3/4x24x1,16.75,24.0,1.0,MERV10,10.0,air_filter
ZLP163/4242SP,16 3/4x24x2 MERV10 Special Standard Capacity Pleat,Glasfloss Industries,16 3/4x24x2,16.75,24.0,2.0,MERV10,10.0,air_filter
ZLP16301,16x30x1 MERV10 Standard Capacity Pleat,Glasfloss Industries,16x30x1,16.0,30.0,1.0,MERV10,10.0,air_filter
ZLP16302,16x30x2 MERV10 Standard Capacity Pleat,Glasfloss Industries,16x30x2,16.0,30.0,2.0,MERV10,10.0,air_filter
ZLP16321SP,16x32x1 SPECIAL MERV10 Standard Capacity Pleat,Glasfloss Industries,16x32x1,16.0,32.0,1.0,MERV10,10.0,air_filter
ZLP16322SP,16x32x2 SPECIAL MERV10 Standard Capacity Pleat,Glasfloss Industries,16x32x2,16.0,32.0,2.0,MERV10,10.0,air_filter
ZLP171/4282SP,17 1/4 x 28x2 Special  MERV10 Standard Capacity Pleat,Glasfloss Industries,17 1/4 x 28x2,17.25,28.0,2.0,MERV10,10.0,air_filter
ZLP17221SP,17x22x1 MERV10 Special Standard Capacity Pleat,Glasfloss Industries,17x22x1,17.0,22.0,1.0,MERV10,10.0,air_filter
ZLP17232SP,17x23x2 Special  MERV10 Standard Capacity Pleat,Glasfloss Industries,17x23x2,17.0,23.0,2.0,MERV10,10.0,air_filter
ZLP17331SP,17 3/4x33x1  MERV10 Special Standard Capacity Pleat,Glasfloss Industries,17 3/4x33x1 ,17.75,33.0,1.0,MERV10,10.0,air_filter
ZLP17332SP,17 3/4x33x2  MERV10 Special Standard Capacity Pleat,Glasfloss Industries,17 3/4x33x2 ,17.75,33.0,2.0,MERV10,10.0,air_filter
ZLP17352SP,17x35x2 Special  MERV10 Standard Capacity Pleat,Glasfloss Industries,17x35x2,17.0,35.0,2.0,MERV10,10.0,air_filter
ZLP181/292SP,18 1/2 x 9 1/2 x 2 Special MERV10 Standard Capacity Pleat,Glasfloss Industries,18 1/2 x 9 1/2 x 2,18.5,9.5,2.0,MERV10,10.0,air_filter
ZLP18164SP,18x16x4 SPECIAL MERV10 Standard Capacity Pleat,Glasfloss Industries,18x16x4,18.0,16.0,4.0,MERV10,10.0,air_filter
ZLP18181,18x18x1 MERV10 Standard Capacity Pleat,Glasfloss Industries,18x18x1,18.0,18.0,1.0,MERV10,10.0,air_filter
ZLP18182,18x18x2 MERV10 Standard Capacity Pleat,Glasfloss Industries,18x18x2,18.0,18.0,2.0,MERV10,10.0,air_filter
ZLP18184SP,18x18x4 SPECIAL MERV10 Standard Capacity Pleat,Glasfloss Industries,18x18x4,18.0,18.0,4.0,MERV10,10.0,air_filter
ZLP18201,18x20x1 MERV10 Standard Capacity Pleat,Glasfloss Industries,18x20x1,18.0,20.0,1.0,MERV10,10.0,air_filter
ZLP18202,18x20x2 MERV10 Standard Capacity Pleat,Glasfloss Industries,18x20x2,18.0,20.0,2.0,MERV10,10.0,air_filter
ZLP18204,18x20x4 MERV10 Standard Capacity Pleat,Glasfloss Industries,18x20x4,18.0,20.0,4.0,MERV10,10.0,air_filter
ZLP18221SP,18x22x1 Special MERV10 Standard Capacity Plea,Glasfloss Industries,18x22x1,18.0,22.0,1.0,MERV10,10.0,air_filter
ZLP18222,18x22x2 MERV10 Standard Capacity Plea,Glasfloss Industries,18x22x2,18.0,22.0,2.0,MERV10,10.0,air_filter
ZLP18241,18x24x1 MERV10 Standard Capacity Pleat,Glasfloss Industries,18x24x1,18.0,24.0,1.0,MERV10,10.0,air_filter
ZLP18242,18x24x2 MERV10 Standard Capacity Pleat,Glasfloss Industries,18x24x2,18.0,24.0,2.0,MERV10,10.0,air_filter
ZLP18244,18x24x4 MERV10 Standard Capacity Pleat,Glasfloss Industries,18x24x4,18.0,24.0,4.0,MERV10,10.0,air_filter
ZLP18251,18x25x1 MERV10 Standard Capacity Pleat,Glasfloss Industries,18x25x1,18.0,25.0,1.0,MERV10,10.0,air_filter
ZLP18252,18x25x2 MERV10 Standard Capacity Pleat,Glasfloss Industries,18x25x2,18.0,25.0,2.0,MERV10,10.0,air_filter
ZLP18301,18x30x1 MERV10 Standard Capacity Pleat,Glasfloss Industries,18x30x1,18.0,30.0,1.0,MERV10,10.0,air_filter
ZLP18302SP,18x30x2 Special MERV10 Standard Capacity Pleat,Glasfloss Industries,18x30x2,18.0,30.0,2.0,MERV10,10.0,air_filter
ZLP18312SP,18 x 31.5 x 2 Special MERV10 Standard Capacity Pleat,Glasfloss Industries,18 x 31.5 x 2,18.0,31.5,2.0,MERV10,10.0,air_filter
ZLP18371SP,18x37x1 Special  MERV10 Standard Capacity Pleat,Glasfloss Industries,18x37x1,18.0,37.0,1.0,MERV10,10.0,air_filter
ZLP191/2312SP,19 1/2 x 31 x 2 Special  MERV10 Standard Capacity Pleat,Glasfloss Industries,19 1/2 x 31 x 2,19.5,31.0,2.0,MERV10,10.0,air_filter
ZLP19242SP,19x24x2 Special  MERV10 Standard Capacity Pleat; EXACT,Glasfloss Industries,19x24x2,19.0,24.0,2.0,MERV10,10.0,air_filter
ZLP19271,19x27x1 Special MERV10 Standard Capacity Pleat,Glasfloss Industries,19x27x1,19.0,27.0,1.0,MERV10,10.0,air_filter
ZLP201/4192SP,20 1/4 x 19 1/2 x 2 Special  MERV10 Standard Capacity Pleat,Glasfloss Industries,20 1/4 x 19 1/2 x 2,20.25,19.5,2.0,MERV10,10.0,air_filter
ZLP20201,20x20x1 MERV10 Standard Capacity Pleat,Glasfloss Industries,20x20x1,20.0,20.0,1.0,MERV10,10.0,air_filter
ZLP20202,20x20x2 MERV10 Standard Capacity Pleat,Glasfloss Industries,20x20x2,20.0,20.0,2.0,MERV10,10.0,air_filter
ZLP20204,20x20x4 MERV10 Standard Capacity Pleat,Glasfloss Industries,20x20x4,20.0,20.0,4.0,MERV10,10.0,air_filter
ZLP20221,20x22x1 MERV10 Standard Capacity Pleat,Glasfloss Industries,20x22x1,20.0,22.0,1.0,MERV10,10.0,air_filter
ZLP20222SP,20x22x2 Special MERV10 Standard Capacity Pleat,Glasfloss Industries,20x22x2,20.0,22.0,2.0,MERV10,10.0,air_filter
ZLP20241,20x24x1 MERV10 Standard Capacity Pleat,Glasfloss Industries,20x24x1,20.0,24.0,1.0,MERV10,10.0,air_filter
ZLP20242,20x24x2 MERV10 Standard Capacity Pleat,Glasfloss Industries,20x24x2,20.0,24.0,2.0,MERV10,10.0,air_filter
ZLP20244,20x24x4 MERV10 Standard Capacity Pleat,Glasfloss Industries,20x24x4,20.0,24.0,4.0,MERV10,10.0,air_filter
ZLP20251,20x25x1 MERV10 Standard Capacity Pleat,Glasfloss Industries,20x25x1,20.0,25.0,1.0,MERV10,10.0,air_filter
ZLP20252,20x25x2 MERV10 Standard Capacity Pleat,Glasfloss Industries,20x25x2,20.0,25.0,2.0,MERV10,10.0,air_filter
ZLP20254,20x25x4 MERV10 Standard Capacity Pleat,Glasfloss Industries,20x25x4,20.0,25.0,4.0,MERV10,10.0,air_filter
ZLP20301,20x30x1 MERV10 Standard Capacity Pleat,Glasfloss Industries,20x30x1,20.0,30.0,1.0,MERV10,10.0,air_filter
ZLP20302,20x30x2 MERV10 Standard Capacity Pleat,Glasfloss Industries,20x30x2,20.0,30.0,2.0,MERV10,10.0,air_filter
ZLP20352,20x35x2MERV10 Standard Capacity Pleat,Glasfloss Industries,,,,,MERV10,10.0,air_filter
ZLP211/2202SP,21-1/2x20-1/2 x2  SPECIAL MERV10 Standard Capacity Pleat,Glasfloss Industries,21-1/2x20-1/2 x2 ,21.5,20.5,2.0,MERV10,10.0,air_filter
ZLP21172SP,21 1/2x17 3/4x2 MERV10 Special Standard Capacity Pleat,Glasfloss Industries,21 1/2x17 3/4x2,21.5,17.75,2.0,MERV10,10.0,air_filter
ZLP21211,21x21x1 MERV10 Standard Capacity Pleat,Glasfloss Industries,21x21x1,21.0,21.0,1.0,MERV10,10.0,air_filter
ZLP21231SP,21x23x1 SPECIAL MERV10 Standard Capacity Pleat,Glasfloss Industries,21x23x1,21.0,23.0,1.0,MERV10,10.0,air_filter
ZLP21282,21x28x2 MERV10 Standard Capacity Pleat,Glasfloss Industries,21x28x2,21.0,28.0,2.0,MERV10,10.0,air_filter
ZLP22221,22x22x1 MERV10 Standard Capacity Pleat,Glasfloss Industries,22x22x1,22.0,22.0,1.0,MERV10,10.0,air_filter
ZLP22222SP,22x22x2 MERV10 Standard Capacity Pleat,Glasfloss Industries,22x22x2,22.0,22.0,2.0,MERV10,10.0,air_filter
ZLP22241SP,22x24x1 MERV10 Special Standard Capacity Pleat,Glasfloss Industries,22x24x1,22.0,24.0,1.0,MERV10,10.0,air_filter
ZLP22262SP,22x26x2 Special  MERV10 Standard Capacity Pleat,Glasfloss Industries,22x26x2,22.0,26.0,2.0,MERV10,10.0,air_filter
ZLP24241,24x24x1 MERV10 Standard Capacity Pleat,Glasfloss Industries,24x24x1,24.0,24.0,1.0,MERV10,10.0,air_filter
ZLP24242,24x24x2 MERV10 Standard Capacity Pleat,Glasfloss Industries,24x24x2,24.0,24.0,2.0,MERV10,10.0,air_filter
ZLP24244,24x24x4 MERV10 Standard Capacity Pleat,Glasfloss Industries,24x24x4,24.0,24.0,4.0,MERV10,10.0,air_filter
ZLP24252SP,24x25x2 MERV10 Special High Capacity Pleat,Glasfloss Industries,24x25x2,24.0,25.0,2.0,MERV10,10.0,air_filter
ZLP24282SP,24x28x2 Special MERV10 Standard Capacity Pleat,Glasfloss Industries,24x28x2,24.0,28.0,2.0,MERV10,10.0,air_filter
ZLP24301,24x30x1 MERV10 Standard Capacity Pleat,Glasfloss Industries,24x30x1,24.0,30.0,1.0,MERV10,10.0,air_filter
ZLP25251,25x25x1 MERV10 Standard Capacity Pleat,Glasfloss Industries,25x25x1,25.0,25.0,1.0,MERV10,10.0,air_filter
ZLP25252,25x25x2 MERV10 Standard Capacity Pleat,Glasfloss Industries,25x25x2,25.0,25.0,2.0,MERV10,10.0,air_filter
ZLP25301SP,"25x30x1 (MERV 10) SC Pleated Filter, SPCL",Glasfloss Industries,25x30x1 ,25.0,30.0,1.0,MERV 10,10.0,air_filter
ZLP28.529.54SP,28.5x29.5x4 Special  MERV10 Standard Capacity Pleat,Glasfloss Industries,28.5x29.5x4,28.5,29.5,4.0,MERV10,10.0,air_filter
ZLP29171/22SP,29x17 1/2 x 2 Special  MERV10 Standard Capacity Pleat,Glasfloss Industries,29x17 1/2 x 2,29.0,17.5,2.0,MERV10,10.0,air_filter
ZLP29291SP,29 1/2 x 29 1/2 x 1 SPECIAL MERV10 Standard Capacity Pleat,Glasfloss Industries,29 1/2 x 29 1/2 x 1,29.5,29.5,1.0,MERV10,10.0,air_filter
ZLP29294-SP,29 1/2 x 29 12 x 4 Special  MERV10 Standard Capacity Pleat,Glasfloss Industries,29 1/2 x 29,29.5,29.0,,MERV10,10.0,air_filter
ZLP301/2172SP,30 1/2 x 17 1/4 x 2 Special  MERV10 Standard Capacity Pleat,Glasfloss Industries,30 1/2 x 17 1/4 x 2,30.5,17.25,2.0,MERV10,10.0,air_filter
ZLP30442SP,"30x44x2 (MERV 10) SC Pleated Filter, SPCL",Glasfloss Industries,30x44x2 ,30.0,44.0,2.0,MERV 10,10.0,air_filter
ZLP6341SP,6 1/4 x 34 x 1 Special Standard Capacity Pleat,Glasfloss Industries,6 1/4 x 34 x 1,6.25,34.0,1.0,,,air_filter
ZLP7301SP,7x30x1 MERV10 Special Standard Capacity Pleat,Glasfloss Industries,7x30x1,7.0,30.0,1.0,MERV10,10.0,air_filter
ZLP7381SP,7x38x1 MERV10 Special Standard Capacity Pleat,Glasfloss Industries,7x38x1,7.0,38.0,1.0,MERV10,10.0,air_filter
ZLP8161,8x16x1 Special MERV10 Standard Capacity Pleat,Glasfloss Industries,8x16x1,8.0,16.0,1.0,MERV10,10.0,air_filter
ZLP8241,8x24x1 Special MERV10 Standard Capacity Pleat,Glasfloss Industries,8x24x1,8.0,24.0,1.0,MERV10,10.0,air_filter
ZLP8241SP,"8x24x1 (MERV 10) SC Pleated Filter, SPCL",Glasfloss Industries,8x24x1 ,8.0,24.0,1.0,MERV 10,10.0,air_filter
ZLP8341,8x34x1 Special MERV10 Standard Capacity Pleat,Glasfloss Industries,8x34x1,8.0,34.0,1.0,MERV10,10.0,air_filter
ZLP8341SP,"8x34x1 (MERV 10) SC Pleated Filter, SPCL",Glasfloss Industries,8x34x1 ,8.0,34.0,1.0,MERV 10,10.0,air_filter
ZLP91/2172SP,9 1/2 x17 1/2 x 2  Special  MERV10 Standard Capacity Pleat,Glasfloss Industries,9 1/2 x17 1/2 x 2 ,9.5,17.5,2.0,MERV10,10.0,air_filter
ZLP9242SP,19x24x2 Special  MERV10 Standard Capacity Pleat; EXACT,Glasfloss Industries,19x24x2,19.0,24.0,2.0,MERV10,10.0,air_filter
ZLP9292SP,9 1/2 x 29 1/2 x 2  Special  MERV10 Standard Capacity Pleat; EXACT,Glasfloss Industries,9 1/2 x 29 1/2 x 2 ,9.5,29.5,2.0,MERV10,10.0,air_filter
ZLPSP13H27F1E,13.5 x 27.375 x 1 MERV 10 Special ZLP Pleat Exact,Glasfloss Industries,13.5 x 27.375 x 1,13.5,27.375,1.0,MERV 10,10.0,air_filter
ZLPSP15301SP, 15x30x1 Merv 10 Special Pleat,Glasfloss Industries,15x30x1,15.0,30.0,1.0,Merv 10,10.0,air_filter
ZPK122412,12x24x12 Rigid Box Filter 95% Fiberglass,Glasfloss Industries,12x24x12,12.0,24.0,12.0,95%,16.0,air_filter
ZPK24241285,24.0 X 24.0 X 12 in Glass Z-PAK MERV 13 (85%) Box  Nominal,Glasfloss Industries,24.0 X 24.0 X 12,24.0,24.0,12.0,MERV 13,13.0,air_filter
ZPK24241295,24x24x12 Rigid Box Filter 95% Fiberglass,Glasfloss Industries,24x24x12,24.0,24.0,12.0,95%,16.0,air_filter
ZPS122012-95H,12x20x12 Sythetic Z-Pack 95% Header,Glasfloss Industries,12x20x12,12.0,20.0,12.0,95%,16.0,air_filter
ZPS122012-95NH,12x20x12 Sythetic Z-Pack 95% No Header,Glasfloss Industries,12x20x12,12.0,20.0,12.0,95%,16.0,air_filter
ZPS12206-95H,12x20x6 Sythetic Z-Pack 95% Header,Glasfloss Industries,12x20x6,12.0,20.0,6.0,95%,16.0,air_filter
ZPS122412-65NH,12x24x12 Synthetic Media 65% Rigid Box Filter Non-Headered,Glasfloss Industries,12x24x12,12.0,24.0,12.0,65%,11.0,air_filter
ZPS122412-85NH,12x24x12 Synthetic Media 85% Rigid Box Filter Non-Headered,Glasfloss Industries,12x24x12,12.0,24.0,12.0,85%,13.0,air_filter
ZPS122412-95NH,12x24x12 Synthetic Media 95% Rigid Box Filter Non-Headered,Glasfloss Industries,12x24x12,12.0,24.0,12.0,95%,16.0,air_filter
ZPS12241285BO,"12.0 X 24.0 X 12 in Synthetic Z-PAK MERV 13 (85%) Box Frame Nominal, Non-Headered",Glasfloss Industries,12.0 X 24.0 X 12,12.0,24.0,12.0,MERV 13,13.0,air_filter
ZPS122412F-95NH,12x24x12 Fiberglass Media (MERV 15) 95% Rigid Box Filter Non-Headered,Glasfloss Industries,12x24x12,12.0,24.0,12.0,MERV 15,15.0,air_filter
ZPS12246-Merv14,12x24x6 Synthetic Merv 14 Rigid Box Filter,Glasfloss Industries,12x24x6,12.0,24.0,6.0,Merv 14,14.0,air_filter
ZPS1224665-NH,12x24x6 Synthetic 65% Rigid Box Non-Header,Glasfloss Industries,12x24x6,12.0,24.0,6.0,65%,11.0,air_filter
ZPS1224665HO,12x24x6 (MERV 14) Synthetic 65% Rigid Box HEADERED,Glasfloss Industries,12x24x6 ,12.0,24.0,6.0,MERV 14,14.0,air_filter
ZPS1224695-HO,12 X 24 X 6 in Synthetic Z-PAK MERV 14 (95%) Box Nominal HEADERED,Glasfloss Industries,12 X 24 X 6,12.0,24.0,6.0,MERV 14,14.0,air_filter
ZPS1224695-NH,12 X 24 X 6 in Synthetic Z-PAK MERV 14 (95%) Box Nominal,Glasfloss Industries,12 X 24 X 6,12.0,24.0,6.0,MERV 14,14.0,air_filter
ZPS162012-95DH,16x20x12 Synthetic Media 95% Rigid Box Filter Double-Headered,Glasfloss Industries,16x20x12,16.0,20.0,12.0,95%,16.0,air_filter
ZPS16201295BO,16x20x12 Rigid Air Box Sytle filter 95% Metal Frame,Glasfloss Industries,16x20x12,16.0,20.0,12.0,95%,16.0,air_filter
ZPS16201295HO,16x20x12 Rigid Air Box Sytle filter 95% Metal Frame Single Header,Glasfloss Industries,16x20x12,16.0,20.0,12.0,95%,16.0,air_filter
ZPS1620685H,16.0 X 20.0 X 6 in Synthetic Z-PAK MERV13..(85%) Box Nominal-HEADER,Glasfloss Industries,16.0 X 20.0 X 6,16.0,20.0,6.0,MERV13,13.0,air_filter
ZPS162512-95DH,16x25x12 Synthetic Media 95% Rigid Box Filter Double-Headered,Glasfloss Industries,16x25x12,16.0,25.0,12.0,95%,16.0,air_filter
ZPS162512-95NH,16x25x12 Synthetic Media 95% Rigid Box Filter Non-Headered,Glasfloss Industries,16x25x12,16.0,25.0,12.0,95%,16.0,air_filter
ZPS202012-85 NH,20x20x12 Rigid Box Filters 85% Synthetic Non Headered,Glasfloss Industries,20x20x12,20.0,20.0,12.0,85%,13.0,air_filter
ZPS202012-95DH,20x20x12 Synthetic Media 95% Rigid Box Filter Double-Headered,Glasfloss Industries,20x20x12,20.0,20.0,12.0,95%,16.0,air_filter
ZPS202012-95H,20x20x12 Synthetic Media 95% Rigid Box Filter Headered,Glasfloss Industries,20x20x12,20.0,20.0,12.0,95%,16.0,air_filter
ZPS202012-95NH,20x20x12 Synthetic Media 95% Rigid Box Filter Non-Headered,Glasfloss Industries,20x20x12,20.0,20.0,12.0,95%,16.0,air_filter
ZPS20206-95H,20x20x6 Synthetic Z-Pack 95% Header,Glasfloss Industries,20x20x6,20.0,20.0,6.0,95%,16.0,air_filter
ZPS202412-95H,20x24x12 Synthetic Media 95% Rigid Box Filter Headered,Glasfloss Industries,20x24x12,20.0,24.0,12.0,95%,16.0,air_filter
ZPS202412-95NH,20x24x12 Synthetic Media 95% Rigid Box Filter - No Headered,Glasfloss Industries,20x24x12,20.0,24.0,12.0,95%,16.0,air_filter
ZPS20246-65H,20x24x6 Synthetic Z-Pack 65% Header,Glasfloss Industries,20x24x6,20.0,24.0,6.0,65%,11.0,air_filter
ZPS20246-95H,20x24x6 Synthetic Z-Pack 95% Header,Glasfloss Industries,20x24x6,20.0,24.0,6.0,95%,16.0,air_filter
ZPS202512-95NH,20x25x12 Synthetic Media 95% Rigid Box Filter Non-Headered,Glasfloss Industries,20x25x12,20.0,25.0,12.0,95%,16.0,air_filter
ZPS2025685-H,20x25x6 Synthetic Media 85% Rigid Box Filter Non-Headered,Glasfloss Industries,20x25x6,20.0,25.0,6.0,85%,13.0,air_filter
ZPS242412-65NH,24x24x12 Synthetic Media 65% Rigid Box Filter Non-Headered,Glasfloss Industries,24x24x12,24.0,24.0,12.0,65%,11.0,air_filter
ZPS242412-85NH,24x24x12 Synthetic Media 85% Rigid Box Filter Non-Headered,Glasfloss Industries,24x24x12,24.0,24.0,12.0,85%,13.0,air_filter
ZPS242412-95H,24x24x12 Rigid Box Filters 95% Sythentic Single Header,Glasfloss Industries,24x24x12,24.0,24.0,12.0,95%,16.0,air_filter
ZPS242412-95NH,24x24x12 Synthetic Media 95% Rigid Box Filter Non-Headered,Glasfloss Industries,24x24x12,24.0,24.0,12.0,95%,16.0,air_filter
ZPS24241285BO,"24.0 X 24.0 X 12 in Synthetic Z-PAK MERV 13 (85%) Box Frame Nominal, Non-Headered",Glasfloss Industries,24.0 X 24.0 X 12,24.0,24.0,12.0,MERV 13,13.0,air_filter
ZPS242412F-95NH,24x24x12 Fiberglass Media (MERV 15) 95% Rigid Box Filter Non-Headered,Glasfloss Industries,24x24x12,24.0,24.0,12.0,MERV 15,15.0,air_filter
ZPS24246,24x24x6 Synthetic 85% Rigid Box Filter,Glasfloss Industries,24x24x6,24.0,24.0,6.0,85%,13.0,air_filter
ZPS24246-85NH,24x24x6 Sythetic Z-Pack 85% No Header,Glasfloss Industries,24x24x6,24.0,24.0,6.0,85%,13.0,air_filter
ZPS24246-Merv14,24x24x6 Synthetic Merv 14 Rigid Box Filter,Glasfloss Industries,24x24x6,24.0,24.0,6.0,Merv 14,14.0,air_filter
ZPS2424665-NH,24x24x6 Synthetic 65% Rigid Box Non-Header,Glasfloss Industries,24x24x6,24.0,24.0,6.0,65%,11.0,air_filter
ZPS2424665HO,24x24x6 Synthetic 65% Rigid Box HEADERED,Glasfloss Industries,24x24x6,24.0,24.0,6.0,65%,11.0,air_filter
ZPS2424695-HO,24 X 24 X 6 in Synthetic Z-PAK MERV 14 (95%) Box Nominal HEADERED,Glasfloss Industries,24 X 24 X 6,24.0,24.0,6.0,MERV 14,14.0,air_filter
ZPS2424695-NH,24 X 24 X 6 in Synthetic Z-PAK MERV 14 (95%) Box Nominal,Glasfloss Industries,24 X 24 X 6,24.0,24.0,6.0,MERV 14,14.0,air_filter
ZPS2424695BO,24x24x6 Synthetic MERV 14 Rigid Box Non-Header,Glasfloss Industries,24x24x6,24.0,24.0,6.0,MERV 14,14.0,air_filter
004DN025BN4HC,"004DN025BN4HC  ..Hydac Replacement Pressure Filter Element, 25 Micron, NBR Seal","Precision Filter Products, LLC",,,,,,,air_filter
0060R005ON-Hydac,Hydac Filter Element 1262932,"Precision Filter Products, LLC",,,,,,,air_filter
012- 100093,"Down Stream Gasketing, Neoprene",Caldwell Gasket,,,,,,,stock_item
012- 100096,Upstream GasUpstream Gasketing,Caldwell Gasket,,,,,,,stock_item
012- SCE- .25,"Sponge, SCE41, 0.25"" thick ...25"" x.492 x 22.625""L",Caldwell Gasket,".25"" x.492 x 22.625",0.25,0.492,22.625,,,stock_item
013- 100093- N,"Filter Gasketing Neoprene 22 7/8"" x 1/4"" x 1/2"" Cut Strips","Wetzel Technologies Co., Ltd","22 7/8"" x 1/4"" x 1/2""",22.875,0.25,0.5,,,air_filter
01ME03-30820060,"HILCO OIL MIST ELIMINATOR..(HILCO DWG #3082-00-060-C)..- 3” -150# ANSI RF Flanged Inlet/Outlet Connections...- ½” FNPT Drain/Vent Connections...- 15psi design...- Carbon Steel Construction, with HILCO Epoxy Paint...- Requires: (3) HILCO CCS639-00-C Coa...",Hilliard Corporation,,,,,,,stock_item
01ME03-30821210,HILCO OIL MIST ELIMINATOR..(HILCO DWG #3082-12-010-C)..- Flow Capacity: 125 CFM...- 4” SCH 40 B.W. Inlet Connections...- 4” Slip On Bypass Connection...- 2” FPT Outlet/Silencer...- ½” FPT Drain/Gauge Connections...- Mounting Bracket...- Carbon Steel Co...,Hilliard Corporation,,,,,,,stock_item
01ME05-28010017,HILCO COALESCER SYSTEM..(HILCO DWG #2801-00-017-C)..Process Flow: 5GPM,Hilliard Corporation,,,,,,,stock_item
02414-2000-Series,HILCO SIMPLEX GAS FILTER,Hilliard Corporation,,,,,,,air_filter
02CS05,"HILCO LUBE OIL CONDITIONER SYSTEM..(HILCO DWG #2801-00-017-D)..- Carbon Steel Construction, with HILCO Epoxy Paint...- HILCO Pre-Filter (1/2-Micron)-Included...- Inlet/Outlet Sample Ports...- Inlet Strainer...- Differential Pressure Gauge...- High-Effi...",Hilliard Corporation,,,,,,,air_filter
02R100-30065228,HILCO OIL RECLAIMER System ..(HILCO DWG #3006-52-028-D) ..Process Flow: 100 GPH (Single Pass System)..-	½” FNPT Inlet Connection...-	½” FNPT Drain Connection...-	½” FNPT Return Connection...-	1” FNPT Outlet Connection...-	Skid Mounted Base..-	Carbon St...,Hilliard Corporation,,,,,,,stock_item
0391-00-006,Viton O-Ring,Hilliard Corporation,,,,,,,stock_item
0391-00-012,O-Ring Viton,Hilliard Corporation,,,,,,,stock_item
0391-00-024,HOUSING INPUT O-RING,Hilliard Corporation,,,,,,,stock_item
0391-00-032,HILCO Gasket,Hilliard Corporation,,,,,,,stock_item
0391-00-037,HILCO O-Ring,Hilliard Corporation,,,,,,,stock_item
0391-00-038,HILCO Cover Gasket,Hilliard Corporation,,,,,,,stock_item
0391-00-067,O-Ring Cover,Hilliard Corporation,,,,,,,stock_item
0391-00-068,HILCO Gasket,Hilliard Corporation,,,,,,,stock_item
0391-00-084,HILCO Gasket,Hilliard Corporation,,,,,,,stock_item
0391-00-146-T,HILCO O-Ring Gasket,Hilliard Corporation,,,,,,,stock_item
0391-00-162-T,HILCO O-Ring,Hilliard Corporation,,,,,,,stock_item
0391-00-204-T,HILCO Cover Gasket,Hilliard Corporation,,,,,,,stock_item
0391-00-277-T,O-Ring,Hilliard Corporation,,,,,,,stock_item
0391-00-282-T,0391-00-282-T,Hilliard Corporation,,,,,,,stock_item
0391-00-361-T,Gasket,Hilliard Corporation,,,,,,,stock_item
0391-00-364-T,0391-00-364-T,Hilliard Corporation,,,,,,,stock_item
0391-00-393-T,HILCO Cover Gasket,Hilliard Corporation,,,,,,,stock_item
0391-00-429-T,HILCO O-Ring,Hilliard Corporation,,,,,,,stock_item
0391-00-463-T,HILCO O-Ring,Hilliard Corporation,,,,,,,stock_item
0391-00-483-T,Viton O-Ring,Hilliard Corporation,,,,,,,stock_item
0391-00-489-T,HILCO O-Ring,Hilliard Corporation,,,,,,,stock_item
0391-00-593-T,HILCO O-Ring,Hilliard Corporation,,,,,,,stock_item
0391-00-715-T,O-Ring Viton,Hilliard Corporation,,,,,,,stock_item
0391-00-781,HILCO Gasket,Hilliard Corporation,,,,,,,stock_item
04030048,"Filter, F9 Conical, 12.75X17.5X26, Cone, G90",Parker-Hannifin Corporation,12.75X17.5X26,12.75,17.5,26.0,,,air_filter
04030049,"Filter, F9 Cartridge, 12.75x26, Cylinder, G90",Parker-Hannifin Corporation,12.75x26,12.75,26.0,,,,air_filter
04030050,"Filter, E11 Conical, 12.75X17.5X26, Cone, G90",Parker-Hannifin Corporation,12.75X17.5X26,12.75,17.5,26.0,,,air_filter
04030051,"Filter, E11 Cartridge, 12.75x26, Cylinder, G90",Parker-Hannifin Corporation,12.75x26,12.75,26.0,,,,air_filter
04030070,"Filter, F8 Conical, clearcurrent PRO, 12.75X17.5X26, Cone, G90, Syn Media",Parker-Hannifin Corporation,12.75X17.5X26,12.75,17.5,26.0,,,air_filter
04030071,"Filter, F8 Cartridge, clearcurrent PRO, 12.75x26, Cylinder, G90, Syn Media",Parker-Hannifin Corporation,12.75x26,12.75,26.0,,,,air_filter
04030073,Composite filter for LM6000L,Parker-Hannifin Corporation,,,,,,,air_filter
