Item,Description,Preferred Vendor,Size_Matched_Text,Height,Width,Depth,MERV,MERV Value,Classification
M1316161,16x16x1 MERV 13 Pleated Filter,Glasfloss Industries,16x16x1,16.0,16.0,1.0,MERV 13,13.0,air_filter
M1316162,16x16x2 MERV 13 Pleated Filter,Glasfloss Industries,16x16x2,16.0,16.0,2.0,MERV 13,13.0,air_filter
M1316164SP,16x16x4 Special MERV 13 Pleated Filter,Glasfloss Industries,16x16x4,16.0,16.0,4.0,MERV 13,13.0,air_filter
M1316171SP,16x17.5x1 MERV 13 Pleated Filter,Glasfloss Industries,16x17.5x1,16.0,17.5,1.0,MERV 13,13.0,air_filter
M1316181SP,16x18x1 Special MERV 13 Pleated Filter,Glasfloss Industries,16x18x1,16.0,18.0,1.0,MERV 13,13.0,air_filter
M1316182SP,16x18x2 Special MERV 13 Pleated Filter,Glasfloss Industries,16x18x2,16.0,18.0,2.0,MERV 13,13.0,air_filter
M1316184SP,16x18x4 Special MERV 13 Pleated Filter,Glasfloss Industries,16x18x4,16.0,18.0,4.0,MERV 13,13.0,air_filter
M1316191SP,16x19x1 Special MERV 13 Pleated Filter,Glasfloss Industries,16x19x1,16.0,19.0,1.0,MERV 13,13.0,air_filter
M1316201,16x20x1 MERV 13 Pleated Filter,Glasfloss Industries,16x20x1,16.0,20.0,1.0,MERV 13,13.0,air_filter
M1316202,16x20x2 MERV 13 Pleated Filter,Glasfloss Industries,16x20x2,16.0,20.0,2.0,MERV 13,13.0,air_filter
M1316204,16x20x4 MERV 13 Pleated Filter,Glasfloss Industries,16x20x4,16.0,20.0,4.0,MERV 13,13.0,air_filter
M1316211SP,16x21x1 MERV 13 Pleated Filter,Glasfloss Industries,16x21x1,16.0,21.0,1.0,MERV 13,13.0,air_filter
M1316222SP,16x22x2 MERV 13 Pleated Filter,Glasfloss Industries,16x22x2,16.0,22.0,2.0,MERV 13,13.0,air_filter
M1316231SP,16x23x1 MERV 13 Pleated Filter,Glasfloss Industries,16x23x1,16.0,23.0,1.0,MERV 13,13.0,air_filter
M1316241,16x24x1 MERV 13 Pleated Filter,Glasfloss Industries,16x24x1,16.0,24.0,1.0,MERV 13,13.0,air_filter
M1316242,16x24x2 MERV 13 Pleated Filter,Glasfloss Industries,16x24x2,16.0,24.0,2.0,MERV 13,13.0,air_filter
M1316251,16x25x1 MERV 13 Pleated Filter,Glasfloss Industries,16x25x1,16.0,25.0,1.0,MERV 13,13.0,air_filter
M1316252,16x25x2 MERV 13 Pleated Filter,Glasfloss Industries,16x25x2,16.0,25.0,2.0,MERV 13,13.0,air_filter
M1316254,16x25x4 MERV 13 Pleated Filter,Glasfloss Industries,16x25x4,16.0,25.0,4.0,MERV 13,13.0,air_filter
M1316291SP,16x29x1 MERV 13 Pleated Filter,Glasfloss Industries,16x29x1,16.0,29.0,1.0,MERV 13,13.0,air_filter
M1316301,16x30x1 MERV 13 Pleated Filter,Glasfloss Industries,16x30x1,16.0,30.0,1.0,MERV 13,13.0,air_filter
M1316302SP,16x30x2 Special MERV 13 Pleated Filter,Glasfloss Industries,16x30x2,16.0,30.0,2.0,MERV 13,13.0,air_filter
M1316321SP,16x32x1 Special MERV 13 Pleated Filter,Glasfloss Industries,16x32x1,16.0,32.0,1.0,MERV 13,13.0,air_filter
M1316322SP,16x32x2 Special MERV 13 Pleated Filter,Glasfloss Industries,16x32x2,16.0,32.0,2.0,MERV 13,13.0,air_filter
M1316451SP,16x45x1 MERV 13 Pleated Filter,Glasfloss Industries,16x45x1,16.0,45.0,1.0,MERV 13,13.0,air_filter
M1317201SP,17x20x1 MERV 13 Pleated Filter,Glasfloss Industries,17x20x1,17.0,20.0,1.0,MERV 13,13.0,air_filter
M1317211SP,17x21x1 MERV 13 Pleated Filter,Glasfloss Industries,17x21x1,17.0,21.0,1.0,MERV 13,13.0,air_filter
M1317221SP,17x22x1 Special MERV 13 Pleated Filter,Glasfloss Industries,17x22x1,17.0,22.0,1.0,MERV 13,13.0,air_filter
M1317241SP,17x24x1 MERV 13 Pleated Filter,Glasfloss Industries,17x24x1,17.0,24.0,1.0,MERV 13,13.0,air_filter
M1317281SP,17x22x1 Special MERV 13 Pleated Filter,Glasfloss Industries,17x22x1,17.0,22.0,1.0,MERV 13,13.0,air_filter
M1318102SP,18x10x2 Special MERV 13 Pleated Filter,Glasfloss Industries,18x10x2,18.0,10.0,2.0,MERV 13,13.0,air_filter
M1318181,18x18x1 MERV 13 Pleated Filter,Glasfloss Industries,18x18x1,18.0,18.0,1.0,MERV 13,13.0,air_filter
M1318182,18x18x2 MERV 13 Pleated Filter,Glasfloss Industries,18x18x2,18.0,18.0,2.0,MERV 13,13.0,air_filter
M1318201,18x20x1 MERV 13 Pleated Filter,Glasfloss Industries,18x20x1,18.0,20.0,1.0,MERV 13,13.0,air_filter
M1318202,18x20x2 MERV 13 Pleated Filter,Glasfloss Industries,18x20x2,18.0,20.0,2.0,MERV 13,13.0,air_filter
M1318222SP,18x22x2 Special MERV 13 Pleated Filter,Glasfloss Industries,18x22x2,18.0,22.0,2.0,MERV 13,13.0,air_filter
M1318241,18x24x1 MERV 13 Pleated Filter,Glasfloss Industries,18x24x1,18.0,24.0,1.0,MERV 13,13.0,air_filter
M1318242,18x24x2 MERV 13 Pleated Filter,Glasfloss Industries,18x24x2,18.0,24.0,2.0,MERV 13,13.0,air_filter
M1318244,18x24x4 MERV 13 Pleated Filter,Glasfloss Industries,18x24x4,18.0,24.0,4.0,MERV 13,13.0,air_filter
M1318251,18x25x1 MERV 13 Pleated Filter,Glasfloss Industries,18x25x1,18.0,25.0,1.0,MERV 13,13.0,air_filter
M1318252,18x25x2 MERV 13 Pleated Filter,Glasfloss Industries,18x25x2,18.0,25.0,2.0,MERV 13,13.0,air_filter
M1318301,18x30x1 MERV 13 Pleated Filter,Glasfloss Industries,18x30x1,18.0,30.0,1.0,MERV 13,13.0,air_filter
M1319252SP,19x25x2 Special MERV 13 Pleated Filter,Glasfloss Industries,19x25x2,19.0,25.0,2.0,MERV 13,13.0,air_filter
M1319261SP,19x26x1 MERV 13 Pleated Filter,Glasfloss Industries,19x26x1,19.0,26.0,1.0,MERV 13,13.0,air_filter
M1319471SP,19x47x1 MERV 13 Pleated Filter,Glasfloss Industries,19x47x1,19.0,47.0,1.0,MERV 13,13.0,air_filter
M1320201,20x20x1 MERV 13 Pleated Filter,Glasfloss Industries,20x20x1,20.0,20.0,1.0,MERV 13,13.0,air_filter
M1320202,20x20x2 MERV 13 Pleated Filter,Glasfloss Industries,20x20x2,20.0,20.0,2.0,MERV 13,13.0,air_filter
M1320204,20x20x4 MERV 13 Pleated Filter,Glasfloss Industries,20x20x4,20.0,20.0,4.0,MERV 13,13.0,air_filter
M1320211SP,20x21x1 MERV 13 Pleated Filter,Glasfloss Industries,20x21x1,20.0,21.0,1.0,MERV 13,13.0,air_filter
M1320221,20x22x1 MERV 13 Pleated Filter,Glasfloss Industries,20x22x1,20.0,22.0,1.0,MERV 13,13.0,air_filter
M1320241,20x24x1 MERV 13 Pleated Filter,Glasfloss Industries,20x24x1,20.0,24.0,1.0,MERV 13,13.0,air_filter
M1320242,20x24x2 MERV 13 Pleated Filter,Glasfloss Industries,20x24x2,20.0,24.0,2.0,MERV 13,13.0,air_filter
M1320244,20x24x4 MERV 13 Pleated Filter,Glasfloss Industries,20x24x4,20.0,24.0,4.0,MERV 13,13.0,air_filter
M1320251,20x25x1 MERV 13 Pleated Filter,Glasfloss Industries,20x25x1,20.0,25.0,1.0,MERV 13,13.0,air_filter
M1320252,20x25x2 MERV 13 Pleated Filter,Glasfloss Industries,20x25x2,20.0,25.0,2.0,MERV 13,13.0,air_filter
M1320254,20x25x4 MERV 13 Pleated Filter,Glasfloss Industries,20x25x4,20.0,25.0,4.0,MERV 13,13.0,air_filter
M1320272,20x27x2 Special MERV 13 Pleated Filter,Glasfloss Industries,20x27x2,20.0,27.0,2.0,MERV 13,13.0,air_filter
M1320301,20x30x1 MERV 13 Pleated Filter,Glasfloss Industries,20x30x1,20.0,30.0,1.0,MERV 13,13.0,air_filter
M1320302,20x30x2 MERV 13 Pleated Filter,Glasfloss Industries,20x30x2,20.0,30.0,2.0,MERV 13,13.0,air_filter
